complaint_ward_name,bbmp_ward_no,bbmp_ward_name,bbmp_zone,centroid_lat,centroid_lon,ward_area_sqkm,match_method,in_flood_register,register_ward_name,notes
A.Narayanapura,56,A Narayanapura,Mahadevapura,12.994474,77.672583,2.1,normalised,true,A Narayanapura,transliteration fold to 'A Narayanapura' (normal form 'anarayanapur')
Adugodi,147,Adugodi,South,12.943239,77.613079,1.6,exact,false,,
Agaram,114,Agaram,East,12.944263,77.639047,11,exact,false,,
Agrahara Dasarahalli,105,Agrahara Dasarahalli,West,12.980497,77.541535,0.8,exact,false,,
Anjanapur,196,Anjanapura,Bommanahalli,12.859588,77.563286,11.4,normalised,false,,transliteration fold to 'Anjanapura' (normal form 'anjanapur')
Arakere,193,Arakere,Bommanahalli,12.879220,77.602884,6.6,exact,true,Arakere,
Aramane Nagar,35,Aramane Nagara,West,13.015349,77.577022,7.5,normalised,false,,transliteration fold to 'Aramane Nagara' (normal form 'aramanenagar')
Attiguppe,132,Attiguppe,South,12.958112,77.529309,1.4,exact,false,,
Azad Nagar,141,Azad Nagar,West,12.954717,77.554027,0.7,exact,false,,
BTM Layout,176,BTM Layout,South,12.911838,77.609345,2.1,exact,true,BTM Layout,
Bagalagunte,14,Bagalakunte,Dasarahalli,13.058892,77.500280,4.3,manual,true,Bagalakunte,"k/g transliteration; boundary ward 14 Bagalakunte, Dasarahalli"
Banashankari Temple Ward,180,Banashankari Temple ward,South,12.913351,77.569832,0.7,normalised,false,,transliteration fold to 'Banashankari Temple ward' (normal form 'banasankaritemple')
Banaswadi,27,Banasavadi,East,13.014699,77.648927,3.4,manual,false,,"v/w; boundary ward 27 Banasavadi, East"
Bapuji Nagar,134,Bapuji Nagar,South,12.957976,77.543221,0.7,exact,true,Bapuji Nagar,
Basavanagudi,154,Basavanagudi,South,12.937375,77.568733,1.2,exact,false,,
Basavanapura,53,Basavanapura,Mahadevapura,13.016847,77.715457,6.3,exact,false,,
Basaveshwara Nagar,100,Basaveshwara Nagar,West,12.990808,77.542130,0.8,exact,true,Basaveshwaranagar,
Begur,192,Begur,Bommanahalli,12.865000,77.622070,19,exact,true,Begur,
Bellandur,150,Bellanduru,Mahadevapura,12.922874,77.680209,26.4,manual,true,Bellandur,"trailing vowel; boundary ward 150 Bellanduru, Mahadevapura"
Benniganahalli,50,Benniganahalli,East,12.999502,77.651704,4.9,exact,true,Benniganahalli,
Bharathi Nagar,91,Bharathi Nagar,East,12.987014,77.611040,0.8,exact,true,Bharathi Nagar,
Bilekahalli,188,Bilekhalli,Bommanahalli,12.899157,77.610159,4.3,manual,true,Bilekhalli,"medial vowel; boundary ward 188 Bilekhalli, Bommanahalli"
Binnipet,121,Binnipete,West,12.971798,77.559097,0.8,manual,true,Binnypete,"pete/pet; boundary ward 121 Binnipete, West"
Bommanahalli,175,Bommanahalli,Bommanahalli,12.900741,77.621212,1.8,exact,true,Bommanahalli,
Byatarayanapura,7,Byatarayanapura,Yelahanka,13.061071,77.597371,10,exact,true,Byatarayanapura,
Byrasandra,169,Byrasandra,South,12.931598,77.588941,0.9,exact,true,Byrasandra,
C.V.Raman Nagar,57,C V Raman Nagar,East,12.983950,77.665203,3.6,normalised,false,,transliteration fold to 'C V Raman Nagar' (normal form 'cvramanagar')
Chalavadipalya,138,Chalavadipalya,West,12.964579,77.564448,0.4,exact,true,Chalavadipalya,
Chamrajpet,140,Chamrajapet,West,12.958184,77.563776,1,manual,true,Chamrajpet,"boundary ward 140 Chamrajapet, West"
Chikkalasandra,183,Chikkalsandra,South,12.921685,77.548407,1.1,manual,false,,"boundary ward 183 Chikkalsandra, South"
Chikpete,109,Chickpete,West,12.970688,77.577098,0.7,manual,false,,"boundary ward 109 Chickpete, West"
Chokkasandra,39,Chokkasandra,Dasarahalli,13.038050,77.506307,3.8,exact,true,Chokkasandra,
Chowdeshwari Ward,2,Chowdeswari Ward,Yelahanka,13.121709,77.580422,6.5,normalised,false,,transliteration fold to 'Chowdeswari Ward' (normal form 'covdesvari')
Cottonpet,120,Cottonpete,West,12.970359,77.566287,0.8,manual,true,Cottonpete,"pete/pet; boundary ward 120 Cottonpete, West"
Dattathreya Temple,77,Dattatreya Temple,West,12.996555,77.574138,0.7,normalised,true,Dattatreya Temple,transliteration fold to 'Dattatreya Temple' (normal form 'datatreyatemple')
Dayananda Nagar,97,Dayananda Nagar,West,12.991097,77.564195,0.4,exact,false,,
Deepanjali Nagar,158,Deepanjali Nagar,South,12.944540,77.536233,2.1,exact,true,Deepanjali Nagar,
Devarajeevanahalli,47,Devara Jeevanahalli,East,13.015453,77.602753,1.4,normalised,false,,transliteration fold to 'Devara Jeevanahalli' (normal form 'devarajivanahali')
Devasandra,55,Devasandra,Mahadevapura,13.001797,77.689122,3.5,exact,true,Devasandra,
Dharmarayaswamy Temple Ward,119,Dharmaraya Swamy Temple,South,12.963133,77.580511,1.1,normalised,true,Dharmaraya Swamy Temple Ward,transliteration fold to 'Dharmaraya Swamy Temple' (normal form 'darmarayasvamytemple')
Dodda Bidarkallu,40,Dodda Bidarakallu,Rajarajeswari Nagar,13.018076,77.484543,12.9,manual,true,Dodda Bidarakallu,"medial vowel; boundary ward 40 Dodda Bidarakallu, RR Nagar"
Doddabommasandra,10,Dodda Bommasandra,Yelahanka,13.056595,77.558692,4.2,normalised,false,,transliteration fold to 'Dodda Bommasandra' (normal form 'dodabomasandr')
Doddanekkundi,85,Dodda Nekkundi,Mahadevapura,12.968183,77.707824,12,normalised,true,Doddanekkundi,transliteration fold to 'Dodda Nekkundi' (normal form 'dodanekundi')
Domlur,112,Domlur,East,12.963362,77.638041,1.7,exact,false,,
Dr.Rajkumar Ward,106,Dr. Raj Kumar Ward,West,12.979654,77.548475,1,normalised,true,Dr. Rajkumar,transliteration fold to 'Dr. Raj Kumar Ward' (normal form 'drajkumar')
Ejipura,148,Ejipura,South,12.942316,77.627034,1.9,exact,true,Ejipura,
Gali Anjaneya Swamy Temple Ward,157,Gali Anjenaya Temple ward,South,12.950159,77.544656,1.1,manual,true,Gali Anjanaya Temple,"boundary ward 157 Gali Anjenaya Temple ward, South"
Gandhi Nagar,94,Gandhinagar,West,12.981565,77.575665,1.9,normalised,false,,transliteration fold to 'Gandhinagar' (normal form 'gandinagar')
Ganeshmandira Ward,165,Ganesh Mandir ward,South,12.924803,77.564046,1.6,normalised,false,,transliteration fold to 'Ganesh Mandir ward' (normal form 'ganesmandir')
Ganga Nagar,20,Ganga Nagar,East,13.032555,77.586360,2.3,exact,true,Ganganagar,
Gangenahalli,34,Gangenahalli,East,13.017775,77.588815,1.1,exact,false,,
Garudacharpalya,82,Garudachar Playa,Mahadevapura,12.985901,77.717283,6.8,manual,true,Garudachar Palya,boundary ward 82 'Garudachar Playa' - Playa is a typo for Palya in the boundary file
Gayathri Nagar,76,Gayithri Nagar,West,12.997436,77.560514,0.6,manual,false,,"boundary ward 76 Gayithri Nagar, West"
Giri Nagar,162,Girinagar,South,12.937624,77.545575,1.8,normalised,false,,transliteration fold to 'Girinagar' (normal form 'girinagar')
Gottigere,194,Gottigere,Bommanahalli,12.860591,77.582133,7.4,exact,false,,
Govindraja Nagara,104,Govindaraja Nagar,West,12.977117,77.536682,0.8,manual,false,,"boundary ward 104 Govindaraja Nagar, West"
Gurappanapalya,171,Gurappanapalya,South,12.922866,77.604615,0.7,exact,true,Gurappanapalya,
H.M.T,38,HMT Ward,Rajarajeswari Nagar,13.031905,77.531705,5.2,normalised,true,HMT,transliteration fold to 'HMT Ward' (normal form 'hmt')
HAL Airport,87,HAL Airport,Mahadevapura,12.956537,77.671502,6.8,exact,false,,
HBR Layout,24,HBR Layout,East,13.032020,77.630127,4.6,exact,true,HBR Layout,
HSR Layout,174,HSR Layout,Bommanahalli,12.913718,77.646426,7.1,exact,true,HSR Layout,
Hagadooru,84,Hagadur,Mahadevapura,12.966070,77.748365,12.6,manual,true,Hagadur,"oo/u; boundary ward 84 Hagadur, Mahadevapura"
Hampi Nagar,133,Hampi Nagar,South,12.959949,77.537615,1.1,exact,true,Hampinagar,
Hanumantha Nagar,155,Hanumanth Nagar,South,12.947121,77.559884,1,manual,true,Hanumanth Nagar,"trailing vowel; boundary ward 155 Hanumanth Nagar, South"
Hebbal,21,Hebbala,East,13.034054,77.593019,1.2,normalised,true,Hebbala,transliteration fold to 'Hebbala' (normal form 'hebal')
Hegganahalli,71,Hegganahalli,Dasarahalli,13.001006,77.500975,1.8,exact,false,,
Hemmigepura,198,Hemmigepura,Rajarajeswari Nagar,12.891903,77.505013,30.5,exact,true,Hemmigepura,
Herohalli,72,Herohalli,Rajarajeswari Nagar,12.982807,77.487159,7.8,exact,true,Herohalli,
Hombegowda Nagar,145,Hombegowda Nagara,South,12.950596,77.594874,1.4,normalised,false,,transliteration fold to 'Hombegowda Nagara' (normal form 'hombegovdanagar')
Hongasandra,189,Hongasandra,Bommanahalli,12.896769,77.627517,2.1,exact,true,Hongasandra,
Hoodi,54,Hudi,Mahadevapura,13.022376,77.705493,15,normalised,false,,transliteration fold to 'Hudi' (normal form 'hudi')
Horamavu,25,Horamavu,Mahadevapura,13.044561,77.653271,17.5,exact,true,Horamavu,
Hosahalli,124,Hosahalli,South,12.967669,77.543812,0.9,exact,true,Hosahalli,
Hosakerehalli,161,Hosakerehalli,South,12.927797,77.539506,1.3,exact,true,Hosakerehalli,
Hoysala Nagar,80,Hoysala Nagar,East,12.978456,77.638783,2.1,exact,false,,
J.P.Nagar,177,J P Nagar,South,12.910882,77.594507,1.8,normalised,true,JP Nagar,transliteration fold to 'J P Nagar' (normal form 'jpnagar')
J.P.Park,17,J P Park,Rajarajeshwari Nagar,13.036628,77.552424,2,normalised,true,J P Park,transliteration fold to 'J P Park' (normal form 'jpark')
Jagajeevanram Nagar,136,Jagajivanaramnagar,West,12.960545,77.551941,0.6,manual,false,,"boundary ward 136 Jagajivanaramnagar, West"
Jakkasandra,173,Jakkasandra,South,12.920591,77.630989,1.5,exact,true,Jakkasandra,
Jakkur,5,Jakkuru,Yelahanka,13.096250,77.623314,23.5,manual,false,,"trailing vowel; boundary ward 5 Jakkuru, Yelahanka"
Jalahalli,16,Jalahalli,Rajarajeshwari Nagar,13.046444,77.539339,5.2,exact,false,,
Jaraganahalli,186,Jaraganahalli,Bommanahalli,12.900421,77.577488,1.3,exact,false,,
Jayachamarajendra Nagar,46,Jayachamarajendra Nagar,East,13.017172,77.595976,0.9,exact,false,,
Jayamahal,63,Jayamahal,East,12.995107,77.599931,1.4,exact,false,,
Jayanagar East,170,Jayanagar East,South,12.921106,77.598640,1,exact,true,Jayanagar East,
Jayangar,153,Jayanagar,South,12.937634,77.589420,2.5,manual,true,Jayanagar,"missing syllable in the complaint feed; boundary ward 153 Jayanagar, South. 'Jayanagar East' is a separate ward matched exactly"
Jeevanbhima Nagar,88,Jeevanbhima Nagar,East,12.964652,77.650033,1.9,exact,true,Jeevanbhima Nagar,
Jnanabharathi Ward,129,Jnana Bharathi ward,Rajarajeswari Nagar,12.959306,77.501788,11.9,normalised,true,Jnana Bharathi,transliteration fold to 'Jnana Bharathi ward' (normal form 'jnanabarati')
Jogupalya,89,Jogupalya,East,12.973725,77.632594,0.9,exact,true,Jogupalya,
K.R.Market,139,K R Market,West,12.963968,77.571801,0.8,normalised,false,,transliteration fold to 'K R Market' (normal form 'krmarket')
K.R.Puram,52,K R Puram,Mahadevapura,13.017798,77.698444,4.8,normalised,true,K R Puram,transliteration fold to 'K R Puram' (normal form 'krpuram')
Kacharakanahalli,29,Kacharkanahalli,East,13.019417,77.634011,1.7,manual,true,Kacharakanahalli,"medial vowel; boundary ward 29 Kacharkanahalli, East"
Kadugodi,83,Kadugodi,Mahadevapura,12.990688,77.757909,11.2,exact,false,,
Kadugondanahalli,30,Kadugondanahalli,East,13.015544,77.619864,0.7,exact,false,,
Kamakshipalya,101,Kamakshipalya,West,12.986798,77.533871,0.9,exact,false,,
Kammanahalli,28,Kammanahalli,East,13.008374,77.635993,1,exact,true,Kammanahalli,
Karisandra,166,Karisandra,South,12.924352,77.574017,1.1,exact,false,,
Katriguppe,163,Katriguppe,South,12.931641,77.552223,1.1,exact,false,,
Kavalbyrasandra,32,Kaval Bairasandra,East,13.026350,77.608569,1.6,manual,false,,"spacing and by/bai; boundary ward 32 Kaval Bairasandra, East"
Kaveripura,103,Kaveripura,West,12.979742,77.524898,1.7,exact,false,,
Kempapura Agrahara,122,Kempapura Agrahara,South,12.972313,77.555480,0.4,exact,true,Kempapura,
Kempegowda Ward,1,Kempegowda Ward,Yelahanka,13.116188,77.599714,10.9,exact,true,Kempegowda,
Kengeri,159,Kengeri,Rajarajeswari Nagar,12.915069,77.477528,5.1,exact,false,,
