ward,pre,post,p23,p45,ev_pre,ev_post,ev_all,spend,area,growth,delta,d23,d45,log_spend,log_area,log_growth
A.Narayanapura,3.002662803220335,1.4518207292443668,2.1912468698404863,0.860279816767471,11,11,35,0.0,2.1,1.7931,-1.5508420739759683,-0.8114159333798487,-2.142382986452864,0.0,0.7419373447293773,0.583945965516181
Anjanapur,0.4768936657232526,0.8302449932735427,0.6516349409711447,0.9731330351154611,2,11,20,49766655.0,11.4,1.7803,0.35335132755029014,0.17474127524789212,0.49623936939220853,17.72285575950773,2.4336133554004498,0.5767818894286799
Arakere,0.8756079430303766,0.9047021506366987,0.7734883707006647,1.0096731745855259,8,18,38,38095611.0,6.6,1.4268,0.029094207606322087,-0.10211957232971192,0.13406523155514927,17.45560966286061,1.8870696490323797,0.35543417450259945
Attiguppe,0.8244019294497735,0.7809880375662968,0.7499011414432414,0.8058575544647409,2,12,19,6418524.0,1.4,2.854,-0.043413891883476774,-0.07450078800653215,-0.018544374985032586,15.674698898490574,0.3364722366212129,1.0487215190546446
BTM Layout,0.2992320670075129,0.617757583344381,0.4699405167787719,0.7360112365968681,1,10,20,20242441.0,2.1,2.6026,0.3185255163368681,0.17070844977125899,0.43677916958935514,16.823292047279566,0.7419373447293773,0.9565109453605198
Bagalagunte,1.4241492615933822,0.6159764221131507,0.7422510307270817,0.5149567352220061,9,9,36,15242906.0,4.3,1.52,-0.8081728394802314,-0.6818982308663005,-0.909192526371376,16.539624838064178,1.4586150226995167,0.41871033485818504
Banaswadi,0.7329200871903084,0.7451130035816969,0.8548913504768243,0.6572903260655949,6,20,51,933503.0,3.4,1.9364,0.01219291639138842,0.12197126328651586,-0.07562976112471353,13.746700526903851,1.2237754316221157,0.6608305790834021
Basavanagudi,0.4620373028997844,0.7155522233429492,0.6213260421510395,0.7909331682964769,1,7,16,2073373.0,1.2,1.8941,0.2535149204431648,0.15928873925125508,0.32889586539669247,14.544687790002808,0.1823215567939546,0.6387437916805587
Basavanapura,1.171219936795527,1.406177775110083,1.1263436848693738,1.6300450473026502,9,23,61,370378240.0,6.3,1.5435,0.23495783831455608,-0.04487625192615319,0.45882511050712327,19.730035314410333,1.840549633397487,0.434052564960077
Begur,0.981934017897189,0.947168623967818,1.2098670762231716,0.737009862163535,16,44,119,84956828.0,19.0,1.3496,-0.03476539392937106,0.22793305832598254,-0.244924155733654,18.25765379131504,2.9444389791664403,0.29980825224962143
Bellandur,1.8155026357458752,1.9313508017895313,2.4817169972548863,1.4910578454172472,24,70,189,167174570.0,26.4,2.4848,0.11584816604365611,0.666214361509011,-0.32444479032862805,18.93454915972785,3.2733640101522705,0.9101921734122855
Benniganahalli,0.8568498769272157,1.4418295260566156,1.9923385259752142,1.0014223261217368,4,24,49,11434437.0,4.9,1.9913,0.5849796491293999,1.1354886490479985,0.14457244919452106,16.252140236876635,1.589235205116581,0.6887876917824924
Bharathi Nagar,1.205122580670978,3.2309649189445273,1.7465796224083374,4.418473156173479,2,30,46,13150333.0,0.8,1.8658,2.0258423382735495,0.5414570417373594,3.213350575502501,16.391957715505036,-0.2231435513142097,0.6236899155447235
Bilekahalli,2.0926603909749546,1.5390186889878004,2.449460538456959,0.8106652094124736,14,27,72,2736667.0,4.3,1.7742,-0.5536417019871542,0.3568001474820046,-1.281995181562481,14.822251679971101,1.4586150226995167,0.5733496171043495
Bommanahalli,0.5368114051327967,1.4152594078032266,1.4133810132396893,1.4167621234540566,1,20,29,56999990.0,1.8,2.8519,0.8784480026704299,0.8765696081068927,0.8799507183212599,17.858561667904073,0.5877866649021191,1.0479854388237198
Byatarayanapura,1.24542133306824,1.082799876887501,1.2981296024038231,0.9105360964744433,12,25,67,85426156.0,10.0,1.2263,-0.1626214561807391,0.05270826933558315,-0.33488523659379665,18.26316289991839,2.302585092994046,0.20400150578584325
Byrasandra,0.709579522317305,0.9434767327515902,0.7406894977622827,1.1057065207430359,1,8,10,3564109.0,0.9,1.8,0.23389721043428513,0.031109975444977622,0.39612699842573085,15.086424931294077,-0.10536051565782628,0.5877866649021191
C.V.Raman Nagar,0.9346983431635127,0.9318450134693204,0.6392626308028082,1.16591091960253,3,11,28,982567.0,3.6,3.0,-0.002853329694192386,-0.29543571236070454,0.23121257643901716,13.797924831526498,1.2809338454620642,1.0986122886681098
Chamrajpet,2.0888970521248016,1.1288293008378647,0.9590026469310531,1.2646906239633142,6,10,19,16048110.0,1.0,1.858,-0.9600677512869369,-1.1298944051937485,-0.8242064281614874,16.591101705909683,0.0,0.6195006403916469
Chikpete,1.9738950672518703,1.619344051261924,1.5754093810718048,1.6544917874140197,9,37,63,11486483.0,0.7,2.1146,-0.3545510159899463,-0.3984856861800654,-0.31940327983785055,16.256681597773856,-0.35667494393873245,0.7488656693162891
