complaint_ward_name,bbmp_ward_no,elev_centroid_m,elev_mean_m,elev_min_m,elev_max_m,elev_range_m,elev_centroid_minus_boundary_m
A.Narayanapura,56,899.0,898.8461538461538,886.0,909.0,23.0,0.16666666666662877
Adugodi,147,899.0,891.3846153846154,883.0,902.0,19.0,8.25
Agaram,114,892.0,891.4615384615385,875.0,904.0,29.0,0.5833333333333712
Agrahara Dasarahalli,105,891.0,890.3076923076923,866.0,917.0,51.0,0.75
Anjanapur,196,904.0,892.3076923076923,842.0,938.0,96.0,12.666666666666629
Arakere,193,907.0,908.9230769230769,894.0,926.0,32.0,-2.0833333333333712
Aramane Nagar,35,943.0,928.8461538461538,917.0,943.0,26.0,15.333333333333371
Attiguppe,132,871.0,859.9230769230769,832.0,877.0,45.0,12.0
Azad Nagar,141,879.0,873.9230769230769,856.0,895.0,39.0,5.5
BTM Layout,176,909.0,893.4615384615385,884.0,909.0,25.0,16.83333333333337
Bagalagunte,14,876.0,893.2307692307693,874.0,909.0,35.0,-18.66666666666663
Banashankari Temple Ward,180,906.0,907.8461538461538,886.0,922.0,36.0,-2.0
Banaswadi,27,903.0,911.6923076923077,902.0,921.0,19.0,-9.416666666666629
Bapuji Nagar,134,849.0,850.7692307692307,840.0,864.0,24.0,-1.9166666666666288
Basavanagudi,154,914.0,913.6923076923077,896.0,925.0,29.0,0.33333333333337123
Basavanapura,53,870.0,880.8461538461538,865.0,894.0,29.0,-11.75
Basaveshwara Nagar,100,901.0,910.9230769230769,894.0,930.0,36.0,-10.75
Begur,192,918.0,908.8461538461538,887.0,937.0,50.0,9.916666666666629
Bellandur,150,873.0,886.3076923076923,873.0,912.0,39.0,-14.416666666666629
Benniganahalli,50,924.0,910.3076923076923,899.0,925.0,26.0,14.833333333333371
Bharathi Nagar,91,904.0,909.0769230769231,901.0,919.0,18.0,-5.5
Bilekahalli,188,889.0,894.5384615384615,884.0,912.0,28.0,-6.0
Binnipet,121,870.0,879.9230769230769,869.0,891.0,22.0,-10.75
Bommanahalli,175,902.0,894.8461538461538,884.0,908.0,24.0,7.75
Byatarayanapura,7,895.0,898.8461538461538,889.0,921.0,32.0,-4.166666666666629
Byrasandra,169,915.0,921.6923076923077,905.0,933.0,28.0,-7.25
C.V.Raman Nagar,57,899.0,896.2307692307693,886.0,916.0,30.0,3.0
Chalavadipalya,138,892.0,893.0769230769231,884.0,900.0,16.0,-1.1666666666666288
Chamrajpet,140,903.0,893.1538461538462,882.0,909.0,27.0,10.666666666666629
Chikkalasandra,183,881.0,874.3846153846154,857.0,886.0,29.0,7.166666666666629
Chikpete,109,914.0,912.3076923076923,904.0,923.0,19.0,1.8333333333333712
Chokkasandra,39,896.0,898.8461538461538,875.0,924.0,49.0,-3.0833333333333712
Chowdeshwari Ward,2,916.0,907.4615384615385,896.0,925.0,29.0,9.25
