ward,raw_slope,raw_p,norm_slope,norm_p,vol_slope,events_total,complaints_total,vol_first4,vol_last4,vol_growth
A.Narayanapura,-0.1213235294117647,0.021639694857150806,-0.0015552438080495357,0.0038142347956325686,3.5357142857142856,35,2239,356,757,2.123249299719888
Adugodi,-0.0,0.04024278524556949,-0.0,0.06466364999501287,3.0,5,1207,178,439,2.458100558659218
Agaram,-0.0,0.5114570134698799,-0.0,0.5123831918967473,2.3452380952380953,8,1103,141,387,2.732394366197183
Agrahara Dasarahalli,-0.0,0.021182474717539677,-0.0,0.017476111452252148,0.25,13,1176,225,282,1.252212389380531
Anjanapur,-0.0,0.06284065378344574,-0.0,0.1534540359771371,9.253472222222221,20,4399,667,1469,2.2005988023952097
Arakere,-0.0,0.42007232961435903,-0.0,0.9740676717201351,9.696969696969695,38,6377,1273,1880,1.4764521193092621
Aramane Nagar,-0.0,0.5958064788045883,-0.0,0.5539416420840029,4.076923076923077,17,2201,383,710,1.8515625
Attiguppe,-0.0,0.2259944107203865,-0.0,0.637859624668692,12.148351648351648,19,3789,401,1524,3.7935323383084576
Azad Nagar,-0.0,0.03974082208165121,-0.0,0.0351838756817656,3.4444444444444446,4,1018,100,339,3.366336633663366
BTM Layout,-0.0,0.10272288847184576,-0.0,0.25059205068568424,12.59375,20,5863,865,2182,2.520785219399538
Bagalagunte,-0.125,0.04175293881902201,-0.0006323386457240798,0.007628716384833333,8.178571428571429,36,5013,783,1433,1.8290816326530612
Banashankari Temple Ward,-0.0,0.08213830586699547,-0.0,0.1342780068399353,6.858333333333333,6,1428,106,619,5.794392523364486
Banaswadi,-0.0,1.0,-0.00027104960065284147,0.22906848025535842,20.089285714285715,51,8273,1303,2878,2.2078220858895707
Bapuji Nagar,-0.0,0.007939387472304077,-0.0,0.03856690041018389,3.3508771929824563,7,1380,164,475,2.8848484848484848
Basavanagudi,-0.0,0.31686754086156266,-0.0,0.46140035510785127,6.258928571428571,16,3347,522,1009,1.9311663479923518
Basavanapura,-0.0,0.5029215950490151,-8.086938297652829e-05,0.5858584459782121,8.038461538461538,61,5806,953,1732,1.8165618448637317
Basaveshwara Nagar,-0.0,0.08731203032455959,-0.0,0.05853748036551905,2.090909090909091,14,1518,252,433,1.715415019762846
Begur,-0.08571428571428572,0.5562984612747348,-0.00033142912417469304,0.0983302187347563,24.63888888888889,119,14770,2373,4115,1.733782645324347
Bellandur,0.11805555555555555,0.6952985667826368,-0.0006096885994079658,0.06380788453418215,28.379807692307693,189,11559,1596,4157,2.6036318096430806
Benniganahalli,-0.0,0.32928280387138764,-0.0,0.7668843013869673,9.619047619047619,49,4184,620,1522,2.4524959742351045
Bharathi Nagar,0.17692307692307693,0.0177205636946856,0.0011284059078176725,0.13905415872101157,2.6666666666666665,46,1427,213,469,2.196261682242991
Bilekahalli,-0.0,0.6938493443066314,-0.0005251678589349999,0.2552258392103255,9.930288461538462,72,4919,805,1500,1.8622828784119108
Binnipet,-0.0,0.3191332628660716,-0.0,0.46512300404700635,1.7846153846153845,6,753,104,273,2.6095238095238096
Bommanahalli,0.08012820512820512,0.03804992859061535,0.00016889191413218215,0.15161325810624024,9.961538461538462,29,3078,401,1098,2.7338308457711444
Byatarayanapura,-0.0,0.842456346054176,-0.00024132513340036513,0.5368163113567568,8.555555555555555,67,6793,1217,2017,1.6568144499178983
Byrasandra,-0.0,0.07438293306745791,-0.0,0.19272362665026177,7.4035087719298245,10,2622,330,914,2.7643504531722054
C.V.Raman Nagar,-0.0,0.412951548266864,-0.0,0.5278124381247458,6.008928571428571,28,2672,378,1121,2.9604221635883907
Chalavadipalya,-0.0,0.4083444035862528,-0.0,0.43899286198967014,2.5941176470588236,10,756,54,238,4.345454545454546
Chamrajpet,-0.0,0.42624696852592325,-0.0,0.84013110189786,4.864285714285714,19,2151,300,648,2.1561461794019934
Chikkalasandra,-0.0,0.10262811388947382,-0.0,0.07711056517782197,3.591666666666667,14,2395,383,626,1.6328125
Chikpete,0.14285714285714285,0.19957110953302404,-0.00026824199888566766,0.3614464888476012,16.361607142857142,63,4818,493,1627,3.2955465587044532
Chokkasandra,-0.0,0.13594692522666904,-0.0005515580123020269,0.03141770165308583,3.0,21,2813,477,761,1.594142259414226
Chowdeshwari Ward,-0.0,0.05245229006343921,-0.0,0.09185915354333572,1.303030303030303,16,1496,345,440,1.2745664739884393
Cottonpet,-0.0,0.09062155597775234,-0.0,0.17452534056858338,1.801282051282051,20,1088,169,308,1.8176470588235294
Dattathreya Temple,-0.0,0.6782419809008946,-0.00012583346356201486,0.4512964787400878,2.8496240601503757,26,1799,267,470,1.757462686567164
Dayananda Nagar,-0.0,0.5637028616507731,-0.0,0.7779728326668359,1.1180555555555556,6,673,93,205,2.1914893617021276
Deepanjali Nagar,-0.0,0.9150882314978102,-0.0,0.7620728877080543,3.0,17,1691,257,544,2.112403100775194
Devarajeevanahalli,-0.0,0.3476116417041175,-0.0,0.7169617905927377,1.625,8,692,90,220,2.4285714285714284
Devasandra,-0.0,0.9381652397905107,-0.0,0.7016403679534656,3.322916666666667,10,1292,192,460,2.38860103626943
Dharmarayaswamy Temple Ward,0.17424242424242425,0.016755026316127467,0.0005216183478234948,0.2979792725863437,4.916666666666666,53,2779,367,1093,2.972826086956522
Dodda Bidarkallu,-0.0,0.7434206976952524,-0.0007003683304094623,0.07402572925713644,28.833333333333336,110,8666,909,3038,3.3395604395604397
Doddabommasandra,-0.0,0.9721592887300684,-0.0,0.4942366736874473,5.335294117647059,17,1805,258,669,2.586872586872587
Doddanekkundi,0.2899159663865546,0.04256245867571476,8.942957735819993e-05,0.8202452000178146,24.515151515151516,98,7859,878,2586,2.9431171786120593
