ward,period,total_complaints
A.Narayanapura,2020Q1,118
A.Narayanapura,2020Q2,90
A.Narayanapura,2020Q3,93
A.Narayanapura,2020Q4,97
A.Narayanapura,2021Q1,76
A.Narayanapura,2021Q2,80
A.Narayanapura,2021Q3,93
A.Narayanapura,2021Q4,98
A.Narayanapura,2022Q1,90
A.Narayanapura,2022Q2,96
A.Narayanapura,2022Q3,84
A.Narayanapura,2022Q4,109
A.Narayanapura,2023Q1,93
A.Narayanapura,2023Q2,62
A.Narayanapura,2023Q3,104
A.Narayanapura,2023Q4,96
A.Narayanapura,2024Q1,121
A.Narayanapura,2024Q2,136
A.Narayanapura,2024Q3,210
A.Narayanapura,2024Q4,156
A.Narayanapura,2025Q1,255
A.Narayanapura,2025Q2,184
Adugodi,2020Q1,22
Adugodi,2020Q2,36
Adugodi,2020Q3,48
Adugodi,2020Q4,52
Adugodi,2021Q1,42
Adugodi,2021Q2,41
Adugodi,2021Q3,65
Adugodi,2021Q4,29
Adugodi,2022Q1,34
Adugodi,2022Q2,58
Adugodi,2022Q3,54
Adugodi,2022Q4,56
Adugodi,2023Q1,36
Adugodi,2023Q2,27
Adugodi,2023Q3,68
Adugodi,2023Q4,66
Adugodi,2024Q1,56
Adugodi,2024Q2,96
Adugodi,2024Q3,134
Adugodi,2024Q4,102
Adugodi,2025Q1,107
Adugodi,2025Q2,61
Agaram,2020Q1,39
Agaram,2020Q2,43
Agaram,2020Q3,29
Agaram,2020Q4,32
Agaram,2021Q1,37
Agaram,2021Q2,37
Agaram,2021Q3,74
Agaram,2021Q4,64
Agaram,2022Q1,57
Agaram,2022Q2,40
Agaram,2022Q3,62
Agaram,2022Q4,39
Agaram,2023Q1,29
Agaram,2023Q2,13
Agaram,2023Q3,35
Agaram,2023Q4,63
Agaram,2024Q1,62
Agaram,2024Q2,64
Agaram,2024Q3,120
Agaram,2024Q4,116
Agaram,2025Q1,87
Agaram,2025Q2,97
Agrahara Dasarahalli,2020Q1,30
Agrahara Dasarahalli,2020Q2,43
Agrahara Dasarahalli,2020Q3,65
Agrahara Dasarahalli,2020Q4,59
Agrahara Dasarahalli,2021Q1,58
Agrahara Dasarahalli,2021Q2,64
Agrahara Dasarahalli,2021Q3,66
Agrahara Dasarahalli,2021Q4,53
Agrahara Dasarahalli,2022Q1,57
Agrahara Dasarahalli,2022Q2,85
Agrahara Dasarahalli,2022Q3,78
Agrahara Dasarahalli,2022Q4,62
Agrahara Dasarahalli,2023Q1,27
Agrahara Dasarahalli,2023Q2,36
Agrahara Dasarahalli,2023Q3,41
Agrahara Dasarahalli,2023Q4,47
Agrahara Dasarahalli,2024Q1,53
Agrahara Dasarahalli,2024Q2,89
Agrahara Dasarahalli,2024Q3,69
Agrahara Dasarahalli,2024Q4,72
Agrahara Dasarahalli,2025Q1,52
Agrahara Dasarahalli,2025Q2,72
Anjanapur,2020Q1,103
Anjanapur,2020Q2,144
Anjanapur,2020Q3,144
Anjanapur,2020Q4,219
Anjanapur,2021Q1,160
Anjanapur,2021Q2,153
Anjanapur,2021Q3,180
Anjanapur,2021Q4,198
Anjanapur,2022Q1,162
Anjanapur,2022Q2,269
Anjanapur,2022Q3,229
Anjanapur,2022Q4,156
Anjanapur,2023Q1,143
Anjanapur,2023Q2,174
Anjanapur,2023Q3,230
Anjanapur,2023Q4,205
Anjanapur,2024Q1,164
Anjanapur,2024Q2,356
Anjanapur,2024Q3,347
Anjanapur,2024Q4,364
Anjanapur,2025Q1,402
Anjanapur,2025Q2,476
Arakere,2020Q1,231
Arakere,2020Q2,203
Arakere,2020Q3,324
Arakere,2020Q4,361
Arakere,2021Q1,385
Arakere,2021Q2,243
Arakere,2021Q3,264
Arakere,2021Q4,309
Arakere,2022Q1,212
Arakere,2022Q2,264
Arakere,2022Q3,338
Arakere,2022Q4,245
Arakere,2023Q1,173
Arakere,2023Q2,208
Arakere,2023Q3,342
Arakere,2023Q4,288
Arakere,2024Q1,338
Arakere,2024Q2,371
Arakere,2024Q3,537
Arakere,2024Q4,468
Arakere,2025Q1,504
Arakere,2025Q2,531
Aramane Nagar,2020Q1,49
Aramane Nagar,2020Q2,97
Aramane Nagar,2020Q3,101
Aramane Nagar,2020Q4,99
Aramane Nagar,2021Q1,86
Aramane Nagar,2021Q2,63
Aramane Nagar,2021Q3,95
Aramane Nagar,2021Q4,73
Aramane Nagar,2022Q1,78
Aramane Nagar,2022Q2,85
Aramane Nagar,2022Q3,106
Aramane Nagar,2022Q4,75
Aramane Nagar,2023Q1,61
Aramane Nagar,2023Q2,100
Aramane Nagar,2023Q3,151
Aramane Nagar,2023Q4,120
Aramane Nagar,2024Q1,101
Aramane Nagar,2024Q2,161
Aramane Nagar,2024Q3,216
Aramane Nagar,2024Q4,160
Aramane Nagar,2025Q1,173
Aramane Nagar,2025Q2,218
Attiguppe,2020Q1,77
Attiguppe,2020Q2,92
Attiguppe,2020Q3,79
Attiguppe,2020Q4,91
Attiguppe,2021Q1,139
Attiguppe,2021Q2,120
Attiguppe,2021Q3,117
Attiguppe,2021Q4,123
Attiguppe,2022Q1,130
Attiguppe,2022Q2,128
Attiguppe,2022Q3,197
Attiguppe,2022Q4,121
Attiguppe,2023Q1,155
Attiguppe,2023Q2,151
Attiguppe,2023Q3,197
Attiguppe,2023Q4,176
Attiguppe,2024Q1,249
Attiguppe,2024Q2,403
Attiguppe,2024Q3,375
Attiguppe,2024Q4,399
Attiguppe,2025Q1,347
Attiguppe,2025Q2,373
Azad Nagar,2020Q1,8
Azad Nagar,2020Q2,18
Azad Nagar,2020Q3,26
Azad Nagar,2020Q4,40
Azad Nagar,2021Q1,16
Azad Nagar,2021Q2,39
Azad Nagar,2021Q3,50
Azad Nagar,2021Q4,39
Azad Nagar,2022Q1,46
Azad Nagar,2022Q2,46
Azad Nagar,2022Q3,34
Azad Nagar,2022Q4,27
Azad Nagar,2023Q1,33
Azad Nagar,2023Q2,58
Azad Nagar,2023Q3,71
Azad Nagar,2023Q4,82
Azad Nagar,2024Q1,54
Azad Nagar,2024Q2,70
Azad Nagar,2024Q3,77
Azad Nagar,2024Q4,104
Azad Nagar,2025Q1,88
Azad Nagar,2025Q2,127
BTM Layout,2020Q1,198
BTM Layout,2020Q2,280
BTM Layout,2020Q3,191
BTM Layout,2020Q4,227
BTM Layout,2021Q1,167
BTM Layout,2021Q2,206
BTM Layout,2021Q3,194
BTM Layout,2021Q4,192
BTM Layout,2022Q1,182
BTM Layout,2022Q2,269
BTM Layout,2022Q3,305
BTM Layout,2022Q4,195
BTM Layout,2023Q1,180
BTM Layout,2023Q2,241
BTM Layout,2023Q3,325
BTM Layout,2023Q4,250
BTM Layout,2024Q1,277
BTM Layout,2024Q2,491
BTM Layout,2024Q3,639
BTM Layout,2024Q4,570
BTM Layout,2025Q1,482
BTM Layout,2025Q2,527
Bagalagunte,2020Q1,117
Bagalagunte,2020Q2,165
Bagalagunte,2020Q3,192
Bagalagunte,2020Q4,234
Bagalagunte,2021Q1,192
Bagalagunte,2021Q2,196
Bagalagunte,2021Q3,248
