,slope1,p1,lvl1,lvl2,slope2,delta
A.Narayanapura,-0.23175793429000502,0.07255015432098766,2.0415675846511925,1.4256822111902565,-0.10875302774526274,-0.615885373460936
Anjanapur,0.009488903497697975,0.7274895282186948,0.41829942075334986,0.9676557230313773,-0.08237594697632394,0.5493563022780275
Arakere,0.02030599702903138,0.8618005952380953,0.6888280447532512,0.9274384453597015,0.014167744326589026,0.23861040060645033
Aramane Nagar,0.08724505144528748,0.6006536596119929,1.4334009442320714,0.7173107227148176,0.018995520346003474,-0.7160902215172539
Attiguppe,-0.13734583218453578,0.21637345679012346,0.7792772878016362,0.7400994367321642,0.05837290971433708,-0.039177851069472025
BTM Layout,0.05797906597090852,0.07255015432098766,0.44910425205603033,0.6366395626610398,0.009936384664070846,0.1875353106050095
Bagalagunte,-0.08196324514010828,0.1557418430335097,1.1148201937099704,0.6353400771100668,-0.04635257960865198,-0.47948011659990364
Banaswadi,0.041602859910868206,0.38071979717813054,0.9491834719141181,0.6909898604668185,0.029058149040633335,-0.2581936114472996
Basavanagudi,0.06869640001304116,0.04662257495590829,0.6101068942536456,0.6770862153894799,0.02957030920860146,0.06697932113583427
Basavanapura,0.04526602860365888,0.4843127204585538,1.1008289775417883,1.4511643130135174,-0.031669923858124775,0.3503353354717291
Begur,0.015348478531212795,0.6006536596119929,1.1116250929829057,0.9427487209740544,-0.04857641322644486,-0.1688763720088513
Bellandur,0.07330665571335533,0.38071979717813054,2.2543472222268566,1.9367728884777655,-0.156699182773383,-0.31757433374909105
Benniganahalli,0.13643013101291915,0.38071979717813054,1.2908306353705954,1.3320041419849233,-0.06274171288765085,0.04117350661432795
Bharathi Nagar,0.11113462814750126,0.6006536596119929,1.3555145186746984,3.497795868910539,0.2568882572725365,2.142281350235841
Bilekahalli,0.05155735083690475,0.7274895282186948,1.6521280962735658,1.464290276958264,-0.06373253955946676,-0.18783781931530186
Bommanahalli,0.06588192561551405,0.07255015432098766,0.7956633424360346,1.3044157448302482,0.04839753426246886,0.5087524023942136
Byatarayanapura,0.037377116273405286,0.7274895282186948,1.1412152774265976,1.0813192430526566,-0.025261915163590398,-0.059896034373940976
C.V.Raman Nagar,0.05671181455159872,0.38071979717813054,1.3120903789788887,0.9716913092795737,0.07411863510443728,-0.340399069699315
Chamrajpet,-0.10187190347014896,0.38071979717813054,1.0385743835073074,1.063844413358179,0.10661559257678371,0.025270029850871678
Chikpete,-0.10959768224132634,0.21637345679012346,1.310930538774771,1.5209216907890808,0.13073151670516203,0.20999115201430985
Chokkasandra,-0.10026846056247221,0.6006536596119929,1.2949718032826691,0.8089857814500363,-0.043696782866203376,-0.48598602183263284
Chowdeshwari Ward,-0.00982564531767531,0.21637345679012346,0.6869043791917254,1.6540121389340574,0.1088318221983397,0.967107759742332
Cottonpet,0.033505602975321756,0.7274895282186948,1.0731856496286216,1.9635582228417896,0.20744606115126965,0.890372573213168
Dattathreya Temple,0.013590679978091207,1.0,1.2824377436459855,1.5343089210390866,-0.07562465648632388,0.25187117739310105
Deepanjali Nagar,0.05221565905912129,0.38071979717813054,1.142345851400869,1.1720630261372278,-0.0806363154993985,0.02971717473635871
Dharmarayaswamy Temple Ward,0.11237520933262285,0.1557418430335097,1.557643085946442,2.4009126658450994,0.026621937160010316,0.8432695798986574
Dodda Bidarkallu,-0.0812390761391022,0.4843127204585538,1.7528377742316976,1.7176599455269457,-0.13928851187035765,-0.035177828704751946
Doddabommasandra,0.027450146415180954,0.4843127204585538,1.377402745603789,0.8966665928195411,0.10309310861258526,-0.48073615278424786
Doddanekkundi,0.11829393025346528,0.21637345679012346,1.2815786728254275,1.6517819197600496,0.12441581437643706,0.37020324693462214
Domlur,0.040460411774743354,0.4843127204585538,1.007027767183666,0.9955354101741248,-0.003154163801214792,-0.01149235700954121
Ejipura,0.09697415426521239,0.4843127204585538,1.8240334282991468,0.8411335347400255,-0.038276612139718086,-0.9828998935591213
Gandhi Nagar,0.17103770650667258,0.1557418430335097,1.4293319668933997,1.5468443951728816,0.1928974903088768,0.11751242827948194
Garudacharpalya,0.021839553244867548,0.7274895282186948,0.8986143567450877,1.2328111904450776,0.09611919135179153,0.33419683369998987
Gottigere,-0.06594503440939138,0.1557418430335097,0.6121921496833233,0.5571201016937273,-0.07418653002512206,-0.055072047989595974
H.M.T,-0.1382245521711725,0.4843127204585538,1.399979534058723,2.007251280661926,0.27148846710212293,0.6072717466032027
HBR Layout,0.09889308421259682,0.21637345679012346,1.23034820478738,1.168463933576268,-0.05629907004151537,-0.06188427121111184
