ward,raw_slope,raw_p,share_slope,share_p,rel_slope,rel_p,events,ev_first4,ev_last4,co_first4,co_last4,rel_first4,rel_last4
A.Narayanapura,-0.1213235294117647,0.021639694857150806,-0.0015552438080495357,0.0038142347956325686,-0.087573776963309,0.009056382412965046,35,12,4,356,757,2.675235183066412,0.912464410058471
Adugodi,-0.0,0.04024278524556949,-0.0,0.06466364999501287,0.021548215616352086,0.12841351117075267,5,0,3,178,439,0.5798479803153366,1.078855881386712
Agaram,-0.0,0.5114570134698799,-0.0,0.5123831918967473,0.0030814841662872607,0.7732194749063227,8,0,1,141,387,0.6365214428426634,0.6253475669761639
Agrahara Dasarahalli,-0.0,0.021182474717539677,-0.0,0.017476111452252148,-0.036992883344344904,0.08550171523715203,13,8,0,225,282,2.7545734953096606,0.5296476331120767
Anjanapur,-0.0,0.06284065378344574,-0.0,0.1534540359771371,0.026539901224975466,0.1458442183647273,20,2,8,667,1469,0.45289480660218234,0.7816040464486154
Arakere,-0.0,0.42007232961435903,-0.0,0.9740676717201351,0.02274444694405342,0.2598399893189163,38,8,12,1273,1880,0.7076115241007721,0.9613655133569896
Aramane Nagar,-0.0,0.5958064788045883,-0.0,0.5539416420840029,-0.009244796827908075,0.6771082386478994,17,5,3,383,710,1.4417674747799805,0.71566724585551
Attiguppe,-0.0,0.2259944107203865,-0.0,0.637859624668692,-0.002365256545593583,0.9235023313316655,19,3,9,401,1524,0.9292411824953901,0.8883074026293359
Azad Nagar,-0.0,0.03974082208165121,-0.0,0.0351838756817656,-0.0007639309201321258,0.8226828854421667,4,0,2,100,339,0.708238834673286,0.8419741000036669
BTM Layout,-0.0,0.10272288847184576,-0.0,0.25059205068568424,0.017661647555777454,0.23326655710712652,20,1,8,865,2182,0.3171374013232887,0.8076213623843038
Bagalagunte,-0.125,0.04175293881902201,-0.0006323386457240798,0.007628716384833333,-0.0483433937474007,0.004748309856126978,36,10,4,783,1433,1.3223106451897144,0.5177934048298535
Banashankari Temple Ward,-0.0,0.08213830586699547,-0.0,0.1342780068399353,0.0026989644045827365,0.6771082386478994,6,0,5,106,619,0.6980970914326166,1.029187794377389
Banaswadi,-0.0,1.0,-0.00027104960065284147,0.22906848025535842,-0.014469583368557262,0.6307989462589767,51,8,10,1303,2878,0.8303418399920646,0.573989004421972
Bapuji Nagar,-0.0,0.007939387472304077,-0.0,0.03856690041018389,0.017550781511900905,0.20862839781386747,7,0,3,164,475,0.6072259698187554,0.9460375310849098
Basavanagudi,-0.0,0.31686754086156266,-0.0,0.46140035510785127,0.010578377318669667,0.2883781963764095,16,1,5,522,1009,0.4459857815525088,0.8462830490425342
Basavanapura,-0.0,0.5029215950490151,-8.086938297652829e-05,0.5858584459782121,0.013726637773187032,0.5858584459782121,61,10,12,953,1732,1.1011685023507822,1.084076732728918
Basaveshwara Nagar,-0.0,0.08731203032455959,-0.0,0.05853748036551905,-0.035655544748281504,0.08550171523715203,14,3,1,252,433,1.2461664812532611,0.6084441594573506
Begur,-0.08571428571428572,0.5562984612747348,-0.00033142912417469304,0.0983302187347563,-0.02393387092767422,0.23326655710712652,119,22,21,2373,4115,1.1245041515668064,0.756240445729929
Bellandur,0.11805555555555555,0.6952985667826368,-0.0006096885994079658,0.06380788453418215,-0.03637868771504328,0.5858584459782121,189,28,31,1596,4157,1.7505845686535277,1.3171467301310318
Benniganahalli,-0.0,0.32928280387138764,-0.0,0.7668843013869673,0.005324770865181276,0.9235023313316655,49,4,13,620,1522,0.7291576766056811,1.1261550254516528
Bharathi Nagar,0.17692307692307693,0.0177205636946856,0.0011284059078176725,0.13905415872101157,0.14539305578007217,0.02832862734229191,46,2,24,213,469,1.0621660607334362,4.969013913505039
Bilekahalli,-0.0,0.6938493443066314,-0.0005251678589349999,0.2552258392103255,-0.005994347067789409,0.7732194749063227,72,14,9,805,1500,1.6566282274600568,0.8950635440418162
Binnipet,-0.0,0.3191332628660716,-0.0,0.46512300404700635,0.004541102866057321,0.7732194749063227,6,2,4,104,273,1.2987220221272828,1.759543779171151
Bommanahalli,0.08012820512820512,0.03804992859061535,0.00016889191413218215,0.15161325810624024,0.0559350259471061,0.033643947242160896,29,1,13,401,1098,0.529830787033631,1.633750041971124
Byatarayanapura,-0.0,0.842456346054176,-0.00024132513340036513,0.5368163113567568,-0.00699271526062547,0.8226828854421667,67,14,14,1217,2017,1.208459357590287,1.0298664505304544
Byrasandra,-0.0,0.07438293306745791,-0.0,0.19272362665026177,0.014795265888704737,0.20862839781386747,10,2,6,330,914,0.8655912294622664,1.2397497396007329
C.V.Raman Nagar,-0.0,0.412951548266864,-0.0,0.5278124381247458,0.0023108628202947105,0.9235023313316655,28,4,10,378,1121,1.0949077704863204,1.3037922285164967
Chalavadipalya,-0.0,0.4083444035862528,-0.0,0.43899286198967014,0.0038153755899013,0.7732194749063227,10,0,2,54,238,0.8139046386564351,1.2265638849016747
Chamrajpet,-0.0,0.42624696852592325,-0.0,0.84013110189786,0.02976600893005243,0.2598399893189163,19,6,7,300,648,1.7008304221016535,1.410110096535015
Chikkalasandra,-0.0,0.10262811388947382,-0.0,0.07711056517782197,-0.024060212382427504,0.0983302187347563,14,4,1,383,626,1.197335303570435,0.505624790937554
