complaint_ward_name,bbmp_ward_no,bbmp_zone,population_2014,male_population_2014,female_population_2014,sc_population_2014,st_population_2014,area_sqkm_2014,assembly_constituency,population_density,sc_st_share,complaints_per_1k_2021,complaint_growth_2021_2024
Kempegowda Ward,1,Yelahanka,39368,20580,18788,3736,1231,11.385,150-YELAHANKA,3457.8832,0.1262,14.4026,1.8327
Chowdeshwari Ward,2,Yelahanka,47075,25023,22052,5105,1403,9.6905,150-YELAHANKA,4857.8505,0.1382,7.2225,1.088
Someshwara,3,Yelahanka,43071,22453,20618,4396,1132,5.158,150-YELAHANKA,8350.3296,0.1283,38.1231,1.762
Yelahanka old Satellite Town,4,Yelahanka,41986,21799,20187,6319,1065,4.6012,150-YELAHANKA,9125.0109,0.1759,18.8634,1.2018
Jakkur,5,Yelahanka,40396,21229,19167,4943,778,17.1931,152-BYATARAYANAPURA,2349.5472,0.1416,41.0437,2.3984
Thanisandra,6,Yelahanka,47208,24635,22573,3934,1068,4.4676,152-BYATARAYANAPURA,10566.7472,0.106,58.1257,1.3566
Byatarayanapura,7,Yelahanka,39205,20659,18546,4750,891,12.2311,152-BYATARAYANAPURA,3205.3536,0.1439,36.0413,1.2263
Kodigehalli,8,Yelahanka,38713,20009,18704,3780,1953,5.7411,152-BYATARAYANAPURA,6743.1328,0.1481,19.8125,2.6641
Vidyaranyapura,9,Yelahanka,39438,21032,18406,2766,896,5.3424,152-BYATARAYANAPURA,7382.0755,0.0929,34.8395,1.7476
Doddabommasandra,10,Yelahanka,38620,20262,18358,4085,912,2.3989,152-BYATARAYANAPURA,16099.0454,0.1294,5.9814,2.6164
Kuvempu Nagar,11,Yelahanka,47703,24515,23188,4284,1019,9.1438,152-BYATARAYANAPURA,5216.9776,0.1112,11.1523,3.0113
Shettyhalli,12,Dasarahalli,42320,23094,19226,3122,510,4.8533,152-BYATARAYANAPURA,8719.8401,0.0858,20.8412,2.0159
Mallasandra,13,Dasarahalli,40696,20811,19885,11490,1373,7.2943,152-BYATARAYANAPURA,5579.1508,0.3161,7.2489,1.4392
Bagalagunte,14,Dasarahalli,44141,23175,20966,9570,1141,5.6237,155-DASARAHALLI,7849.1029,0.2427,19.2338,1.52
T-Dasarahalli,15,Dasarahalli,39635,20822,18813,3862,1039,4.7061,155-DASARAHALLI,8422.048,0.1237,6.686,1.7105
Jalahalli,16,Rajarajeshwari Nagar,47846,25186,22660,2980,1666,2.4558,155-DASARAHALLI,19482.8569,0.0971,4.2846,2.0097
J.P.Park,17,Rajarajeshwari Nagar,42639,22620,20019,2626,898,1.3737,155-DASARAHALLI,31039.5283,0.0826,8.1381,1.4914
Radhakrishna Temple,18,East,42614,23008,19606,2681,824,1.2372,155-DASARAHALLI,34443.9056,0.0822,11.0762,2.0825
Sanjay Nagar,19,East,39314,21005,18309,9747,1141,7.0163,154-RAJARAJESHWARI NAGAR,5603.2382,0.2769,11.955,2.7091
Ganga Nagar,20,East,37855,19400,18455,3960,1217,1.6406,154-RAJARAJESHWARI NAGAR,23073.8754,0.1368,6.5777,2.0
Hebbal,21,East,40404,21200,19204,5165,1607,2.8676,154-RAJARAJESHWARI NAGAR,14089.8312,0.1676,7.9448,3.2857
Vishwanathnagenahalli,22,East,46388,23949,22439,4218,652,0.949,154-RAJARAJESHWARI NAGAR,48880.9273,0.105,11.5116,3.6075
Nagavara,23,East,42806,22101,20705,5052,862,0.9888,157-MALLESWARAM,43290.8576,0.1382,10.3257,1.7088
HBR Layout,24,East,35122,18075,17047,3883,741,1.9489,158-HEBBAL,18021.448,0.1317,37.4124,1.603
Horamavu,25,Mahadevapura,36802,18903,17899,2214,593,3.1427,158-HEBBAL,11710.3128,0.0763,58.0947,2.0337
Ramamurthy Nagar,26,Mahadevapura,40625,21090,19535,5620,934,1.4664,158-HEBBAL,27703.9007,0.1613,36.3815,1.8594
Banaswadi,27,East,46762,24307,22455,3843,576,1.3499,158-HEBBAL,34641.0845,0.0945,28.5488,1.9364
Kammanahalli,28,East,41774,21433,20341,3208,441,1.5198,160-SARVARGNA NAGAR,27486.5114,0.0874,6.5352,2.1204
Kacharakanahalli,29,East,38783,19912,18871,5465,931,3.5253,160-SARVARGNA NAGAR,11001.3332,0.1649,5.982,3.4979
Kadugondanahalli,30,East,37600,19453,18147,4169,465,4.1204,151-K.R.PURA,9125.3276,0.1232,6.3032,2.4706
Kushal Nagar,31,East,45384,23729,21655,5526,798,16.9608,151-K.R.PURA,2675.8172,0.1393,3.0187,2.4565
Kavalbyrasandra,32,East,45241,23449,21792,6161,1040,8.3467,151-K.R.PURA,5420.226,0.1592,19.0756,3.3727
Manorayanapalya,33,East,42488,21588,20900,5349,833,2.7772,160-SARVARGNA NAGAR,15298.8622,0.1455,7.4374,3.4858
Gangenahalli,34,East,44874,22652,22222,7291,909,0.9898,160-SARVARGNA NAGAR,45336.4316,0.1827,3.0307,1.9927
Aramane Nagar,35,West,39609,19801,19808,3570,487,2.2441,160-SARVARGNA NAGAR,17650.283,0.1024,8.0032,2.0094
